,Iteration,Time,Fitness,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.0020759829999998924,6.0,True,100,0.3,300
1,1,0.010617842999999905,16.0,True,100,0.3,300
2,2,0.01593342299999989,16.0,True,100,0.3,300
3,3,0.021081869999999947,16.0,True,100,0.3,300
4,4,0.02617348499999994,16.0,True,100,0.3,300
5,5,0.030696508999999983,16.0,True,100,0.3,300
6,6,0.035077116999999935,16.0,True,100,0.3,300
7,7,0.03930100999999997,16.0,True,100,0.3,300
8,8,0.04363190800000005,16.0,True,100,0.3,300
9,9,0.04783440199999989,16.0,True,100,0.3,300
10,10,0.051821667999999876,16.0,True,100,0.3,300
11,11,0.05997056099999987,16.0,True,100,0.3,300
12,12,0.06415464700000006,16.0,True,100,0.3,300
13,13,0.06848571899999989,16.0,True,100,0.3,300
14,14,0.07269893699999996,16.0,True,100,0.3,300
15,15,0.07692912600000001,16.0,True,100,0.3,300
16,16,0.08100980200000008,16.0,True,100,0.3,300
17,17,0.08497946199999995,16.0,True,100,0.3,300
18,18,0.089595635,16.0,True,100,0.3,300
19,19,0.09451089800000001,16.0,True,100,0.3,300
20,20,0.09896161400000003,16.0,True,100,0.3,300
21,21,0.10338856499999993,16.0,True,100,0.3,300
22,22,0.107890512,16.0,True,100,0.3,300
23,23,0.1120841239999999,16.0,True,100,0.3,300
24,24,0.11613040099999994,16.0,True,100,0.3,300
25,25,0.12036584899999991,16.0,True,100,0.3,300
26,26,0.12854759999999987,16.0,True,100,0.3,300
27,27,0.13265086599999987,16.0,True,100,0.3,300
28,28,0.13713988799999988,16.0,True,100,0.3,300
29,29,0.14121572700000007,16.0,True,100,0.3,300
30,30,0.14532825199999988,16.0,True,100,0.3,300
31,31,0.14945063000000003,16.0,True,100,0.3,300
32,32,0.15363050499999997,16.0,True,100,0.3,300
33,33,0.15766775099999997,16.0,True,100,0.3,300
34,34,0.16240113499999986,16.0,True,100,0.3,300
35,35,0.16663319399999987,16.0,True,100,0.3,300
36,36,0.17121131099999998,16.0,True,100,0.3,300
37,37,0.17549636899999999,16.0,True,100,0.3,300
38,38,0.17945217600000007,16.0,True,100,0.3,300
39,39,0.18547732299999997,16.0,True,100,0.3,300
40,40,0.19057733999999993,16.0,True,100,0.3,300
41,41,0.19517007399999997,16.0,True,100,0.3,300
42,42,0.1993194519999999,16.0,True,100,0.3,300
43,43,0.20377333499999994,16.0,True,100,0.3,300
44,44,0.20796151299999988,16.0,True,100,0.3,300
45,45,0.21230273999999993,16.0,True,100,0.3,300
46,46,0.2163465,16.0,True,100,0.3,300
47,47,0.22048625399999988,16.0,True,100,0.3,300
48,48,0.22457698799999992,16.0,True,100,0.3,300
49,49,0.22880083100000004,16.0,True,100,0.3,300
50,50,0.23292287599999995,16.0,True,100,0.3,300
51,51,0.24178082300000003,16.0,True,100,0.3,300
52,52,0.24593976499999992,16.0,True,100,0.3,300
53,53,0.2501545649999999,16.0,True,100,0.3,300
54,54,0.254363004,16.0,True,100,0.3,300
55,55,0.2584362549999999,16.0,True,100,0.3,300
56,56,0.2626172979999999,16.0,True,100,0.3,300
57,57,0.26669344800000006,16.0,True,100,0.3,300
58,58,0.27116014899999996,16.0,True,100,0.3,300
59,59,0.275548428,16.0,True,100,0.3,300
60,60,0.28040887699999995,16.0,True,100,0.3,300
61,61,0.285035693,16.0,True,100,0.3,300
62,62,0.289498555,16.0,True,100,0.3,300
63,63,0.293910138,16.0,True,100,0.3,300
64,64,0.29814593600000006,16.0,True,100,0.3,300
65,65,0.30211148600000004,16.0,True,100,0.3,300
66,66,0.30633044600000003,16.0,True,100,0.3,300
67,67,0.31045141900000006,16.0,True,100,0.3,300
68,68,0.314636428,16.0,True,100,0.3,300
69,69,0.3188031840000001,16.0,True,100,0.3,300
70,70,0.3231039579999999,16.0,True,100,0.3,300
71,71,0.32713684799999987,16.0,True,100,0.3,300
72,72,0.33200078199999994,16.0,True,100,0.3,300
73,73,0.33643500699999995,16.0,True,100,0.3,300
74,74,0.34119982299999996,16.0,True,100,0.3,300
75,75,0.34558696099999997,16.0,True,100,0.3,300
76,76,0.35433269200000006,16.0,True,100,0.3,300
77,77,0.358447049,16.0,True,100,0.3,300
78,78,0.362694485,16.0,True,100,0.3,300
79,79,0.366696017,16.0,True,100,0.3,300
80,80,0.37083202700000006,16.0,True,100,0.3,300
81,81,0.37494531499999995,16.0,True,100,0.3,300
82,82,0.3789840039999999,16.0,True,100,0.3,300
83,83,0.383487688,16.0,True,100,0.3,300
84,84,0.38809513900000003,16.0,True,100,0.3,300
85,85,0.39305513299999983,16.0,True,100,0.3,300
86,86,0.39765315899999987,16.0,True,100,0.3,300
87,87,0.4022473849999999,16.0,True,100,0.3,300
88,88,0.4065722890000001,16.0,True,100,0.3,300
89,89,0.410562815,16.0,True,100,0.3,300
90,90,0.4145312620000001,16.0,True,100,0.3,300
91,91,0.4187421800000002,16.0,True,100,0.3,300
92,92,0.42292641500000006,16.0,True,100,0.3,300
93,93,0.4271004519999999,16.0,True,100,0.3,300
94,94,0.4312877209999999,16.0,True,100,0.3,300
95,95,0.43525137199999975,16.0,True,100,0.3,300
96,96,0.4395697410000001,16.0,True,100,0.3,300
97,97,0.443845552,16.0,True,100,0.3,300
98,98,0.4478642719999999,16.0,True,100,0.3,300
99,99,0.4518754060000001,16.0,True,100,0.3,300
100,100,0.456048048,16.0,True,100,0.3,300
101,101,0.46432037999999975,16.0,True,100,0.3,300
