,Iteration,Time,Fitness,Population Size,Mutation Rate,max_iters
0,0,0.005161183000005565,13130.134083610645,50,0.2,2000
1,1,0.02149943999999948,11905.078066869568,50,0.2,2000
2,2,0.03416369700000388,11118.162556951678,50,0.2,2000
3,3,0.04769411800000256,11118.162556951678,50,0.2,2000
4,4,0.060259378000004915,10564.90551494288,50,0.2,2000
5,5,0.07303355700000225,10564.90551494288,50,0.2,2000
6,6,0.08548311800000619,10552.421189752633,50,0.2,2000
7,7,0.09809685600000506,10288.77853685015,50,0.2,2000
8,8,0.11111556500000574,9593.368794714357,50,0.2,2000
9,9,0.12415656900000016,9593.368794714357,50,0.2,2000
10,10,0.13730519700000343,9593.368794714357,50,0.2,2000
11,11,0.15401968100000119,9434.494632242393,50,0.2,2000
12,12,0.16620896400000618,9393.844619943568,50,0.2,2000
13,13,0.17932809800000626,9255.801299665443,50,0.2,2000
14,14,0.19164566100000258,9255.801299665443,50,0.2,2000
15,15,0.20428824800000456,9255.801299665443,50,0.2,2000
16,16,0.21732438800000153,9255.801299665443,50,0.2,2000
17,17,0.23070429300000228,9054.525520501787,50,0.2,2000
18,18,0.2436927530000048,8954.0168029922,50,0.2,2000
19,19,0.2567367700000034,8925.920310964326,50,0.2,2000
20,20,0.26999777300000005,8709.71860033751,50,0.2,2000
21,21,0.28315873400000413,8709.71860033751,50,0.2,2000
22,22,0.29566577800000005,8709.71860033751,50,0.2,2000
23,23,0.30872430800000217,8521.222116558663,50,0.2,2000
24,24,0.3215807040000058,8357.755019396283,50,0.2,2000
25,25,0.33446062400000187,8357.755019396283,50,0.2,2000
26,26,0.351393477000002,8357.755019396283,50,0.2,2000
27,27,0.3643828760000005,8357.755019396283,50,0.2,2000
28,28,0.3779198250000064,8357.755019396283,50,0.2,2000
29,29,0.3907854300000011,8317.255111844108,50,0.2,2000
30,30,0.4041581910000005,8269.023109985283,50,0.2,2000
31,31,0.41767626600000085,8269.023109985283,50,0.2,2000
32,32,0.4299992500000016,8269.023109985283,50,0.2,2000
33,33,0.4426791760000057,8269.023109985283,50,0.2,2000
34,34,0.4553326030000022,8269.023109985283,50,0.2,2000
35,35,0.4681378510000016,8137.2744594155065,50,0.2,2000
36,36,0.4810883140000044,8137.2744594155065,50,0.2,2000
37,37,0.49498406600000067,8082.559059499504,50,0.2,2000
38,38,0.5082080740000023,8082.559059499504,50,0.2,2000
39,39,0.5213969230000046,8082.559059499504,50,0.2,2000
40,40,0.5344155450000017,8082.559059499504,50,0.2,2000
41,41,0.5476675980000039,7959.214125129391,50,0.2,2000
42,42,0.5609024380000065,7959.214125129391,50,0.2,2000
43,43,0.5733332900000008,7959.214125129391,50,0.2,2000
44,44,0.5856699840000061,7959.214125129391,50,0.2,2000
45,45,0.5981348260000061,7785.864776883805,50,0.2,2000
46,46,0.6110799100000008,7785.864776883805,50,0.2,2000
47,47,0.6238330330000039,7785.864776883805,50,0.2,2000
48,48,0.636395727,7555.988769437256,50,0.2,2000
49,49,0.649436639000001,7392.706705113963,50,0.2,2000
50,50,0.6622072160000059,7392.706705113963,50,0.2,2000
51,51,0.6800870690000025,7314.2848846648985,50,0.2,2000
52,52,0.6928848599999995,7314.2848846648985,50,0.2,2000
53,53,0.7064695780000037,7314.2848846648985,50,0.2,2000
54,54,0.719442707000006,7180.45637538073,50,0.2,2000
55,55,0.733343167000001,7165.79396458348,50,0.2,2000
56,56,0.7461499650000007,7165.79396458348,50,0.2,2000
57,57,0.7593793959999999,7086.052143495309,50,0.2,2000
58,58,0.7723097590000023,7086.052143495309,50,0.2,2000
59,59,0.7858254310000063,7056.004293303005,50,0.2,2000
60,60,0.7987282390000061,7056.004293303005,50,0.2,2000
61,61,0.8111262180000054,7019.220783351077,50,0.2,2000
62,62,0.8243374580000022,6954.304928599491,50,0.2,2000
63,63,0.836904595,6954.304928599491,50,0.2,2000
64,64,0.8502173860000042,6855.441405969974,50,0.2,2000
65,65,0.8631518490000047,6855.441405969974,50,0.2,2000
66,66,0.8762439890000024,6855.441405969974,50,0.2,2000
67,67,0.8893308480000002,6855.441405969974,50,0.2,2000
68,68,0.9026232550000017,6810.920414706823,50,0.2,2000
69,69,0.9155196780000026,6810.920414706823,50,0.2,2000
70,70,0.9290022650000012,6803.62528188873,50,0.2,2000
71,71,0.941503744000002,6803.62528188873,50,0.2,2000
72,72,0.9541700290000037,6803.62528188873,50,0.2,2000
73,73,0.9674180200000038,6803.62528188873,50,0.2,2000
74,74,0.9811206780000035,6803.62528188873,50,0.2,2000
75,75,0.9969607320000051,6609.2005514968605,50,0.2,2000
76,76,1.0160832380000002,6609.2005514968605,50,0.2,2000
