,Iteration,Time,Fitness,Temperature,max_iters
0,0,8.685100000072055e-05,7.0,100,300
1,1,0.0038597840000003103,7.0,100,300
2,2,0.003974703999999996,7.0,100,300
3,3,0.004086657000000216,7.0,100,300
4,4,0.0041964380000001356,7.0,100,300
5,5,0.004300551000000041,8.0,100,300
6,6,0.004453464000000018,8.0,100,300
7,7,0.0045617850000008175,8.0,100,300
8,8,0.004671615000000351,8.0,100,300
9,9,0.0047800580000005866,8.0,100,300
10,10,0.004889628000000812,8.0,100,300
11,11,0.008547712000000374,8.0,100,300
12,12,0.008657714000000816,10.0,100,300
13,13,0.008763888000000719,10.0,100,300
14,14,0.00887269000000046,10.0,100,300
15,15,0.008977524000000514,10.0,100,300
16,16,0.009084622000000486,10.0,100,300
17,17,0.009188839000000115,10.0,100,300
18,18,0.009296240000000289,10.0,100,300
19,19,0.009548475000000778,10.0,100,300
20,20,0.009675406000000386,10.0,100,300
21,21,0.009783860000000644,10.0,100,300
22,22,0.009893483000000813,10.0,100,300
23,23,0.009997623000000289,10.0,100,300
24,24,0.010105694000000831,10.0,100,300
25,25,0.010209735000000109,10.0,100,300
26,26,0.014054222000000394,10.0,100,300
27,27,0.014167035000000716,10.0,100,300
28,28,0.014276402000000132,10.0,100,300
29,29,0.014384858000000555,10.0,100,300
30,30,0.014491382000000108,10.0,100,300
31,31,0.014596428000000827,10.0,100,300
32,32,0.014701146000000165,8.0,100,300
33,33,0.01480602200000014,8.0,100,300
34,34,0.014910310000000315,8.0,100,300
35,35,0.015014931000000509,8.0,100,300
36,36,0.015125077000000431,8.0,100,300
37,37,0.015231221000000517,8.0,100,300
38,38,0.015336683000000129,8.0,100,300
39,39,0.015441350000000575,7.0,100,300
40,40,0.01554634200000038,7.0,100,300
41,41,0.015651561000000314,7.0,100,300
42,42,0.015756824000000336,7.0,100,300
43,43,0.01586137600000015,7.0,100,300
44,44,0.01605091500000011,7.0,100,300
45,45,0.016193388000000475,7.0,100,300
46,46,0.016379851000000833,7.0,100,300
47,47,0.01655865300000059,7.0,100,300
48,48,0.016703201000000334,7.0,100,300
49,49,0.016886018000000114,7.0,100,300
50,50,0.01699674299999998,7.0,100,300
51,51,0.021231822000000733,7.0,100,300
52,52,0.021343322000000775,7.0,100,300
53,53,0.02145147600000019,7.0,100,300
54,54,0.021557551000000785,7.0,100,300
55,55,0.021665483000000485,7.0,100,300
56,56,0.021773195000000634,7.0,100,300
57,57,0.021881361000000155,7.0,100,300
58,58,0.02198626800000003,7.0,100,300
59,59,0.0221133990000002,7.0,100,300
60,60,0.022238218000000032,6.0,100,300
61,61,0.022345733000000756,6.0,100,300
62,62,0.022450927000000398,6.0,100,300
63,63,0.022561620000000282,6.0,100,300
64,64,0.022739861000000694,7.0,100,300
65,65,0.02291889300000083,7.0,100,300
66,66,0.023039082000000377,7.0,100,300
67,67,0.023152086000000516,7.0,100,300
68,68,0.023260534000000277,7.0,100,300
69,69,0.023369016000000187,7.0,100,300
70,70,0.0234801150000008,7.0,100,300
71,71,0.02358969000000055,7.0,100,300
72,72,0.02369715100000036,7.0,100,300
73,73,0.023805629000000827,7.0,100,300
74,74,0.023912075000000144,10.0,100,300
75,75,0.02402400000000071,10.0,100,300
76,76,0.02831785300000078,10.0,100,300
77,77,0.02844289100000008,10.0,100,300
78,78,0.028557494000000183,10.0,100,300
79,79,0.028669534000000496,10.0,100,300
80,80,0.028781638000000775,10.0,100,300
81,81,0.02889348900000055,10.0,100,300
82,82,0.029002695000000855,10.0,100,300
83,83,0.029112366000000556,10.0,100,300
84,84,0.029220511000000116,9.0,100,300
85,85,0.029334914000000545,9.0,100,300
86,86,0.029448464000000563,9.0,100,300
87,87,0.029559623000000812,9.0,100,300
88,88,0.029670515000000286,9.0,100,300
89,89,0.02978378199999998,9.0,100,300
90,90,0.02989255300000071,9.0,100,300
91,91,0.030034074000000466,8.0,100,300
92,92,0.03015324800000041,8.0,100,300
93,93,0.03026607100000067,8.0,100,300
94,94,0.03037419500000027,8.0,100,300
95,95,0.030521947000000438,8.0,100,300
96,96,0.03066738800000035,8.0,100,300
97,97,0.03079212700000067,8.0,100,300
98,98,0.030907983000000527,8.0,100,300
99,99,0.031016433000000454,8.0,100,300
100,100,0.031128946000000823,8.0,100,300
101,101,0.03630098400000037,8.0,100,300
102,102,0.03642849300000073,8.0,100,300
103,103,0.03654462500000033,8.0,100,300
104,104,0.036658053000000024,8.0,100,300
105,105,0.036765646000000096,6.0,100,300
106,106,0.03687752200000016,6.0,100,300
107,107,0.036993761000000625,6.0,100,300
108,108,0.03711106200000014,6.0,100,300
109,109,0.03722410700000012,6.0,100,300
110,110,0.037336327000000225,6.0,100,300
111,111,0.03744832900000006,6.0,100,300
112,112,0.037661798000000246,6.0,100,300
113,113,0.03778686400000009,6.0,100,300
114,114,0.037901181000000506,6.0,100,300
115,115,0.03801002600000025,6.0,100,300
116,116,0.0382197840000007,6.0,100,300
117,117,0.03833072200000043,5.0,100,300
118,118,0.038443805,5.0,100,300
119,119,0.0385537350000007,5.0,100,300
120,120,0.03866072700000078,5.0,100,300
121,121,0.038772532000000304,5.0,100,300
122,122,0.03888408600000037,5.0,100,300
123,123,0.0389978830000004,5.0,100,300
124,124,0.03910773900000031,5.0,100,300
125,125,0.03922188200000054,5.0,100,300
126,126,0.043795572000000504,5.0,100,300
127,127,0.04391495000000045,5.0,100,300
128,128,0.04403002600000061,5.0,100,300
129,129,0.044141533000000344,5.0,100,300
130,130,0.04425518200000056,5.0,100,300
131,131,0.044365528000000154,5.0,100,300
132,132,0.04447718700000003,5.0,100,300
133,133,0.044591493000000426,5.0,100,300
134,134,0.04470062900000027,8.0,100,300
135,135,0.04481215700000085,5.0,100,300
136,136,0.044923423000000184,5.0,100,300
137,137,0.045035493000000315,5.0,100,300
138,138,0.045145561,5.0,100,300
139,139,0.04525504300000005,5.0,100,300
140,140,0.04536398800000008,5.0,100,300
141,141,0.04547158900000081,7.0,100,300
142,142,0.04558019700000049,7.0,100,300
143,143,0.045687688000000115,7.0,100,300
144,144,0.045791438000000184,11.0,100,300
145,145,0.04589860300000037,11.0,100,300
146,146,0.04601260700000065,11.0,100,300
147,147,0.04612533600000024,11.0,100,300
148,148,0.04623492200000001,11.0,100,300
149,149,0.04634764100000055,11.0,100,300
150,150,0.04645812000000049,11.0,100,300
151,151,0.05105903400000056,12.0,100,300
152,152,0.051181700000000774,12.0,100,300
153,153,0.05133201500000073,12.0,100,300
154,154,0.051443451000000806,12.0,100,300
155,155,0.05155716900000051,12.0,100,300
156,156,0.05166848000000002,12.0,100,300
157,157,0.051778532000000155,12.0,100,300
158,158,0.05188684700000046,12.0,100,300
159,159,0.05199815100000027,11.0,100,300
160,160,0.05211202900000078,11.0,100,300
161,161,0.05222665700000029,12.0,100,300
162,162,0.05248552600000078,12.0,100,300
163,163,0.052601768000000604,12.0,100,300
164,164,0.05271499000000013,12.0,100,300
165,165,0.0528974480000004,12.0,100,300
166,166,0.053069060000000334,7.0,100,300
167,167,0.053191497000000254,7.0,100,300
168,168,0.05330703500000045,7.0,100,300
169,169,0.05342112600000082,7.0,100,300
170,170,0.05353485700000071,7.0,100,300
171,171,0.05364886000000002,7.0,100,300
