,Iteration,Fitness,Time,State,Population Size,Mutation Rate,max_iters
0,0,6.0,0.002539115000000036,"[0, 1, 1, 0, 1, 1, 1, 1, 1, 1]",100,0.3,300
1,10,16.0,0.07144994700000007,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1]",100,0.3,300
2,25,16.0,0.16875130399999994,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1]",100,0.3,300
3,50,16.0,0.3223894140000001,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1]",100,0.3,300
4,75,16.0,0.47881224099999997,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1]",100,0.3,300
5,100,16.0,0.6358449960000001,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1]",100,0.3,300
6,125,16.0,0.651852165,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1]",100,0.3,300
7,150,16.0,0.651852165,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1]",100,0.3,300
8,175,16.0,0.651852165,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1]",100,0.3,300
9,200,16.0,0.651852165,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1]",100,0.3,300
10,300,16.0,0.651852165,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1]",100,0.3,300
